globalid,ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time
{E9434B4A-D56F-4F85-889A-93DCCD3DC6E6},2023-02-01T17:02:37.813Z,A8E72B,2/1/2023 5:02:34 PM,37.357933,-121.929294,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{0B248EDA-69A9-416B-8017-83B86425B86A},2023-02-01T17:02:42.402Z,A45F94,2/1/2023 5:02:38 PM,37.37195,-122.440657,10750,148.53505,340,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{3EA3FD33-5BEA-4A1B-A5A0-92A82426837F},2023-02-01T17:02:42.224Z,AD7E17,2/1/2023 5:02:39 PM,37.712036,-122.457003,6725,178.00577,130,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{02F2347E-604C-4881-A6D6-94691911969D},2023-02-01T17:02:46.771Z,ABA6E6,2/1/2023 5:02:41 PM,36.589256,-121.858569,,341.50235,0.1,0,7773,-1,TIV85,N85VM,terrestrial,,C25B,Cessna 525B CitationJet CJ3+,,Thrive Aviation,-800,KPSP,PSP,,2023-02-01T15:58:42Z,-800,KMRY,MRY,,
{449A017F-28D6-4768-9F73-A960C6DEA32C},2023-02-01T17:02:46.961Z,A45F94,2/1/2023 5:02:41 PM,37.367807,-122.437492,10750,148.74059,340,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{837F8C8B-FE19-4CD1-B455-43A1BCE09B56},2023-02-01T17:02:46.654Z,A8E72B,2/1/2023 5:02:43 PM,37.357938,-121.9293,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{270ED4F2-C7FD-49D7-A1FE-0AC466E4AD18},2023-02-01T17:02:47.705Z,AD7E17,2/1/2023 5:02:44 PM,37.709221,-122.456897,6725,178.30283,140,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{E0F05177-028F-44ED-8D4D-E74DE48D049E},2023-02-01T17:02:47.855Z,A45F94,2/1/2023 5:02:44 PM,37.362826,-122.433671,10750,149.06618,350,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{03DC2177-1DB1-4591-8D35-21CBC89D1709},2023-02-01T17:02:49.961Z,AD7E17,2/1/2023 5:02:47 PM,37.707499,-122.456838,6725,178.42935,140,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{7E90AB4E-2E56-4857-8C35-DEB2836AB7FF},2023-02-01T17:02:50.185Z,A45F94,2/1/2023 5:02:47 PM,37.358643,-122.430472,10750,148.71002,350,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{B4445B9E-E7F8-450D-BC1D-2022C1C0B284},2023-02-01T17:02:52.439Z,ABA6E6,2/1/2023 5:02:47 PM,36.589256,-121.858563,,341.50235,0,0,7773,-1,TIV85,N85VM,terrestrial,,C25B,Cessna 525B CitationJet CJ3+,,Thrive Aviation,-800,KPSP,PSP,,2023-02-01T15:58:42Z,-800,KMRY,MRY,,
{119296F6-A0AE-47F4-8219-18F290087053},2023-02-01T17:02:54.636Z,AD7E17,2/1/2023 5:02:51 PM,37.704752,-122.456778,6725,179.01518,140,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{320247EF-2970-4397-ADAA-AFE46F10D839},2023-02-01T17:02:56.290Z,A45F94,2/1/2023 5:02:51 PM,37.353841,-122.426864,10750,149.14803,350,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{7F0A249B-C11E-4C4B-9605-3E7ED6E59549},2023-02-01T17:02:56.075Z,A8E72B,2/1/2023 5:02:52 PM,37.357933,-121.929294,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{579A8314-F500-4C87-86FB-C9C1C354B0F9},2023-02-01T17:02:56.191Z,AD7E17,2/1/2023 5:02:53 PM,37.703156,-122.45671,6725,178.08932,140,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{6A145277-2AF4-48DF-9F54-43B658C88B81},2023-02-01T17:02:58.412Z,A8E72B,2/1/2023 5:02:55 PM,37.357933,-121.929294,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{8646846C-D063-41A7-A615-EC8BFE996227},2023-02-01T17:02:58.600Z,A45F94,2/1/2023 5:02:55 PM,37.349,-122.423162,10750,148.70668,350,0,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
